id,ar_en_DEEP_difference_general_rare_proportion,ar_en_DEEP_difference_genre_rare_proportion,ar_en_DEEPL_difference_general_rare_proportion,ar_en_DEEPL_difference_genre_rare_proportion,ar_en_GOOGLE_difference_general_rare_proportion,ar_en_GOOGLE_difference_genre_rare_proportion,ar_en_TRANSFORMERS_difference_general_rare_proportion,ar_en_TRANSFORMERS_difference_genre_rare_proportion
2005/s/2005/60/445:16,-0.425,-0.375,-0.425,-0.375,-0.425,-0.375,-0.375,-0.375
2005/s/2005/60/236:4,-0.24285714285714288,-0.2285714285714286,-0.2153846153846154,-0.2230769230769231,-0.24285714285714288,-0.2285714285714286,-0.24285714285714288,-0.2285714285714286
2005/s/2005/60/626:2,-0.23809523809523808,-0.05952380952380949,-0.23809523809523808,-0.05952380952380949,-0.23809523809523808,-0.05952380952380949,-0.23809523809523808,-0.05952380952380949
2005/s/2005/572/210:1,-0.15351506456241026,-0.1571018651362984,-0.033088235294117585,-0.049632352941176405,-0.15351506456241026,-0.1571018651362984,-0.0991596638655462,-0.1201680672268907
2011/s/2011/463/483:1,-0.19090909090909092,-0.056363636363636296,-0.15612648221343883,-0.04940711462450589,-0.19090909090909092,-0.056363636363636296,-0.15612648221343883,-0.04940711462450589
2014/s/2014/41/83:5,-0.3533333333333334,-0.07500000000000001,-0.33818181818181825,-0.06363636363636371,-0.3533333333333334,-0.07500000000000001,-0.33818181818181825,-0.06363636363636371
2006/s/res/1735_2006_/42:1,-0.07371794871794873,-0.09348290598290598,-0.053709055876685896,-0.10304271034039819,-0.07371794871794873,-0.09348290598290598,-0.09294871794871801,-0.11271367521367519
2014/s/2014/902/49:1,-0.24404761904761912,-0.2648809523809524,-0.2039473684210527,-0.2598684210526316,-0.24404761904761912,-0.2648809523809524,-0.2039473684210527,-0.2598684210526316
2013/s/prst/2013/2/5:1,-0.1345029239766083,-0.11403508771929821,-0.2555555555555556,-0.1666666666666666,-0.1345029239766083,-0.11403508771929821,-0.1746031746031747,-0.119047619047619
2005/s/2005/60/351:3,-0.30857142857142866,-0.1314285714285715,-0.24756756756756765,-0.105945945945946,-0.30857142857142866,-0.1314285714285715,-0.28,-0.1314285714285715
2008/s/2008/258/109:1,-0.3047619047619048,-0.0714285714285714,-0.2928571428571428,-0.0678571428571428,-0.3047619047619048,-0.0714285714285714,-0.33772893772893775,-0.11721611721611719
2006/s/2006/822/175:4,-0.2319078947368422,-0.1875,-0.2379807692307693,-0.1875,-0.2255067567567568,-0.160472972972973,-0.2319078947368422,-0.1875
2005/s/2005/60/256:1,-0.1515151515151515,-0.060606060606060594,-0.10845295055821369,-0.0462519936204147,-0.1515151515151515,-0.060606060606060594,-0.1851119894598155,-0.04281949934123849
2005/s/2005/645/2:3,-0.2904761904761905,-0.1476190476190476,-0.24150943396226415,-0.1336927223719677,-0.2904761904761905,-0.1476190476190476,-0.2538461538461539,-0.1714285714285714
2005/s/2005/572/320:1,-0.4097222222222222,-0.0694444444444445,-0.4097222222222222,-0.0694444444444445,-0.4097222222222222,-0.0694444444444445,-0.4652777777777778,-0.0694444444444445
2005/s/2005/60/445:3,-0.3798076923076923,-0.3990384615384615,-0.3798076923076923,-0.3365384615384615,-0.3798076923076923,-0.3990384615384615,-0.358974358974359,-0.3948717948717949
2005/s/2005/60/191:9,-0.2963155163466529,-0.1069019200830306,-0.26558265582655827,-0.0818428184281843,-0.275038920601972,-0.0856253243383497,-0.3356309650053023,-0.1489925768822905
2004/s/2004/384/104:2,-0.18333333333333338,-0.1944444444444445,-0.17352941176470588,-0.1911764705882353,-0.18333333333333338,-0.1944444444444445,-0.19210526315789478,-0.1973684210526316
2009/s/prst/2009/1/119:1,-0.18518518518518517,-0.11685823754789279,-0.1896551724137931,-0.10344827586206899,-0.18518518518518517,-0.11685823754789279,-0.1842105263157895,-0.1197822141560799
2008/s/2008/168/8:2,-0.325,-0.25,-0.1538461538461539,-0.25,-0.325,-0.25,-0.1785714285714286,-0.25
2005/s/2005/60/577:4,-0.4666666666666666,-0.8,-0.4666666666666666,-0.7,-0.4666666666666666,-0.8,-0.48484848484848486,-0.7272727272727273
2008/s/2008/259/39:3,-0.3681318681318682,-0.43772893772893773,-0.2742857142857143,-0.43619047619047613,-0.3681318681318682,-0.43772893772893773,-0.255952380952381,-0.43452380952380953
2012/s/2012/16/101:3,-0.208695652173913,-0.12,-0.208695652173913,-0.12,-0.208695652173913,-0.12,-0.26666666666666666,-0.12
2010/s/2010/522/64:2,-0.13016393442622953,-0.1888524590163935,-0.15818181818181826,-0.1563636363636364,-0.13016393442622953,-0.1888524590163935,-0.1815094339622642,-0.16905660377358492
2005/s/2005/60/664:1,-0.3295739348370928,-0.29699248120300753,-0.39473684210526316,-0.2894736842105263,-0.3295739348370928,-0.29699248120300753,-0.4178433889602054,-0.34403080872913994
2008/s/2008/160/12:1,-0.1766409266409266,-0.12451737451737449,-0.1071428571428571,-0.0357142857142857,-0.1766409266409266,-0.12451737451737449,-0.1428571428571428,-0.11607142857142849
2005/s/2005/650/6:3,-0.24403183023872677,-0.20026525198938994,-0.22564102564102562,-0.1692307692307692,-0.24403183023872677,-0.20026525198938994,-0.2692307692307692,-0.1538461538461539
2009/s/prst/2009/19/4:3,0.07790549169859523,-0.07918263090676882,0.07790549169859523,-0.07918263090676882,0.07790549169859523,-0.07918263090676882,0.07790549169859523,-0.07918263090676882
