id,es_noun_counts,es_verb_counts,es_lemma_counts,en_es_DEEP_noun_counts,en_es_DEEP_verb_counts,en_es_DEEP_lemma_counts,en_es_DEEPL_noun_counts,en_es_DEEPL_verb_counts,en_es_DEEPL_lemma_counts,en_es_GOOGLE_noun_counts,en_es_GOOGLE_verb_counts,en_es_GOOGLE_lemma_counts,en_es_TRANSFORMERS_noun_counts,en_es_TRANSFORMERS_verb_counts,en_es_TRANSFORMERS_lemma_counts
2004/s/2004/384/98:3,3,4,17,1,4,14,1,4,14,1,4,14,1,4,14
2012/s/2012/244/7:1,11,7,52,12,6,52,12,6,52,12,6,52,12,6,50
2006/s/2006/822/170:9,2,1,9,2,1,8,2,1,9,2,1,8,2,1,9
2005/s/2005/603/31:3,2,1,16,3,1,20,2,1,19,3,1,20,3,1,20
2014/s/2014/9/103:1,6,2,38,6,2,39,6,2,39,6,2,39,6,2,39
2006/s/2006/822/242:4,7,6,30,9,6,27,8,6,28,9,6,27,9,7,27
2014/s/2014/902/27:5,6,1,25,5,3,21,5,2,23,5,3,21,6,3,21
2012/s/2012/168/4:1,37,8,93,38,9,97,37,9,97,37,8,96,37,7,95
2011/s/2011/463/161:1,8,1,25,8,0,25,8,0,24,8,0,25,9,1,28
2014/s/2014/957/67:4,7,3,27,9,2,28,9,2,28,8,2,27,8,2,28
2005/s/2005/60/1078:1,4,1,20,4,1,20,4,1,20,4,1,20,3,1,19
2009/s/2009/289/46:3,3,3,31,3,1,27,3,1,25,3,1,27,3,1,27
2005/s/2005/60/833:2,11,2,28,10,3,23,11,2,26,10,3,23,11,2,26
2007/s/prst/2007/49/3:2,3,2,19,2,2,13,3,2,18,2,2,13,3,2,18
2010/s/prst/2010/25/54:1,9,2,26,7,1,21,9,1,23,7,1,21,8,1,23
2013/s/2013/792/41:2,8,4,34,8,3,29,8,3,29,8,3,29,8,3,30
2000/s/2000/591/30:1,16,14,53,15,11,51,14,11,49,14,12,52,16,12,52
2005/s/2005/60/645:1,14,1,30,14,1,32,14,1,31,14,1,32,14,1,31
2012/s/2012/244/50:4,4,4,25,4,3,23,4,3,23,4,3,23,3,4,23
2005/s/2005/603/38:2,26,9,64,26,9,59,24,9,59,25,9,59,21,9,60
2005/s/2005/800/12:1,6,3,32,5,2,33,5,2,32,5,2,33,5,2,31
2005/s/2005/636/683:1,6,2,20,6,2,18,6,2,18,6,2,18,6,2,19
2005/s/2005/625/143:3,7,2,26,5,3,25,5,3,25,5,3,25,5,2,23
2014/s/res/2195__2014_/6:1,9,3,32,9,3,33,9,3,32,9,3,33,9,3,32
2005/s/2005/642/100:1,21,3,50,17,2,46,17,2,49,17,2,46,18,2,47
2005/s/2005/60/247:6,6,7,25,7,5,26,7,5,27,6,6,26,7,5,25
2006/s/2006/822/8:1,17,4,46,18,4,42,17,4,39,16,4,40,17,4,42
2008/s/2008/80/53:1,12,5,41,10,4,42,10,4,42,10,4,42,11,5,41
